gem,ficheiro,commit,categoria,loc_medio,loc_max,pct_singleton,pct_duck,mixins_por_classe,profundidade_heranca,metaprog_por_100,metodos,classes,formas,razao_formas,modo,erro_rspec
rspec,rspec-expectations/lib/rspec/matchers/built_in/include.rb,79a280d76e10,testing,6.5,16,0,83,0.25,1,0.0,24,4,23,0.958,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-expectations__lib__rspec__matchers__built_in__include.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class Mult
rspec,rspec-expectations/lib/rspec/matchers/built_in/match.rb,79a280d76e10,testing,5.4,16,0,55,0.0,1,0.0,11,5,9,0.818,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-expectations__lib__rspec__matchers__built_in__match.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class Multip
rspec,rspec-expectations/lib/rspec/matchers/built_in/operators.rb,79a280d76e10,testing,6.4,18,42,50,0.0,1,41.7,12,6,12,1.0,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-expectations__lib__rspec__matchers__built_in__operators.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class Mu
rspec,rspec-expectations/lib/rspec/matchers/built_in/output.rb,79a280d76e10,testing,5.4,24,7,33,0.0,1,0.0,27,9,16,0.593,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-expectations__lib__rspec__matchers__built_in__output.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class Multi
rspec,rspec-expectations/lib/rspec/matchers/built_in/raise_error.rb,79a280d76e10,testing,6.7,28,0,30,0.25,0,0.0,30,4,23,0.767,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-expectations__lib__rspec__matchers__built_in__raise_error.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class 
rspec,rspec-expectations/lib/rspec/matchers/built_in/respond_to.rb,79a280d76e10,testing,5.4,15,0,45,0.0,1,4.5,22,5,18,0.818,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-expectations__lib__rspec__matchers__built_in__respond_to.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class M
rspec,rspec-expectations/lib/rspec/matchers/built_in/satisfy.rb,79a280d76e10,testing,4,7,0,12,0.0,1,0.0,8,4,7,0.875,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-expectations__lib__rspec__matchers__built_in__satisfy.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class Mult
rspec,rspec-expectations/lib/rspec/matchers/built_in/start_or_end_with.rb,79a280d76e10,testing,5.4,11,0,89,0.0,2,0.0,9,6,8,0.889,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-expectations__lib__rspec__matchers__built_in__start_or_end_with.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for 
rspec,rspec-expectations/lib/rspec/matchers/built_in/throw_symbol.rb,79a280d76e10,testing,7.5,48,0,15,0.25,0,0.0,13,4,10,0.769,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-expectations__lib__rspec__matchers__built_in__throw_symbol.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class
rspec,rspec-expectations/lib/rspec/matchers/built_in/yield.rb,79a280d76e10,testing,5.0,17,2,47,0.12,1,0.0,49,8,32,0.653,com a biblioteca carregada,An error occurred while loading /var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_rspec_4o_nxatc/rspec-expectations__lib__rspec__matchers__built_in__yield.rb_spec.rb. Failure/Error: class MultipleExpectationsNotMetError < ExpectationNotMetError TypeError: superclass mismatch for class Multip
